iso3,year,hs27_import_value,all_import_value,exp_imp,exp_imp_pct
AUT,2024,15257350348.082,204403454311.108,0.0746433097204897,7.46433097204897
AZE,2015,152206242.08,9214281379.39,0.01651851466360107,1.6518514663601072
AZE,2016,284169294.51,8472499915.55,0.03354019443404773,3.354019443404773
AZE,2017,380850048.51,8767799111.76,0.04343736023777924,4.343736023777924
AZE,2018,724670591.0,11460337555.33,0.06323291853327379,6.323291853327379
AZE,2019,828304656.28,13649506476.13,0.060683853861568084,6.068385386156808
AZE,2020,281151085.75,10731105817.34,0.02619963781325297,2.619963781325297
AZE,2021,331611960.57,11695932184.3,0.028352760202828325,2.8352760202828327
AZE,2022,1291262933.36,14535587661.11,0.08883458745976792,8.883458745976792
AZE,2023,1985674932.68,17278236451.58,0.11492347255720191,11.49234725572019
AZE,2024,1848916475.39,21054831458.23,0.08781435648430651,8.781435648430651
BDI,2015,117334496.0,560585346.0,0.20930710521997842,20.93071052199784
BDI,2016,109790405.0,625328492.0,0.17557236940996446,17.557236940996447
BDI,2017,153699933.409,783299126.091,0.19622124969809285,19.622124969809285
BDI,2018,156081793.484,793483604.703,0.19670449718040645,19.670449718040643
BDI,2019,165016058.163,887729043.379,0.18588561385227695,18.588561385227695
BDI,2020,142767090.404,909784642.443,0.15692404965271184,15.692404965271184
BDI,2021,166887849.217,1025017811.213,0.16281458467488083,16.281458467488083
BDI,2022,302583804.986,1260470568.441,0.24005622389124695,24.005622389124696
BDI,2023,263584299.852,1182292485.065,0.2229433944490552,22.29433944490552
BEL,2015,36217461318.333,258592723817.133,0.1400559953262437,14.00559953262437
BEL,2016,28517354476.611,276952158721.632,0.1029685221023106,10.29685221023106
BEL,2017,36681478267.428,305936853961.826,0.1198988542648903,11.98988542648903
BEL,2018,48082298190.692,340085567767.348,0.14138294225877007,14.138294225877008
BEL,2019,37366976056.225,318706545157.901,0.11724571278481835,11.724571278481836
BEL,2020,23387636427.728,294246686004.883,0.07948309204522319,7.948309204522319
BEL,2021,54317903569.218,393947911334.252,0.13788092792585216,13.788092792585216
BEL,2022,118287075005.07,464276902334.93,0.2547769971113867,25.47769971113867
BEL,2023,70822223322.654,415137347678.401,0.17059949850023765,17.059949850023763
BEL,2024,59789509596.805,366891326617.327,0.1629624503475012,16.29624503475012
BEN,2015,446520958.091,2546625119.466,0.17533831527768431,17.53383152776843
BEN,2016,347002498.355,2559957865.636,0.13555008190292622,13.555008190292622
BEN,2017,530939234.25,3210052173.515,0.1653989423071036,16.53989423071036
