typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20150101","2015","52","2015","4","AFG","Afghanistan","M","Import","0","W00","World","0","W00","World","H2","HS","true","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1637956960",,"1637956960","0","true","false",
"C","A","20150101","2015","52","2015","8","ALB","Albania","M","Import","0","W00","World","0","W00","World","H4","HS","true","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","449330900",,"449330900","0","true","false",
"C","A","20150101","2015","52","2015","12","DZA","Algeria","M","Import","0","W00","World","0","W00","World","H4","HS","true","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","2341859895",,"2341859895","0","true","false",
"C","A","20150101","2015","52","2015","20","AND","Andorra","M","Import","0","W00","World","0","W00","World","H4","HS","true","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","115221865.472",,"115221865.472","4","false","true",
"C","A","20150101","2015","52","2015","24","AGO","Angola","M","Import","0","W00","World","0","W00","World","H4","HS","true","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","1412342043.06","1331907292.97","1412342043.06","0","false","true",
"C","A","20150101","2015","52","2015","28","ATG","Antigua and Barbuda","M","Import","0","W00","World","0","W00","World","H3","HS","true","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","78122255",,"78122255","0","true","false",
"C","A","20150101","2015","52","2015","31","AZE","Azerbaijan","M","Import","0","W00","World","0","W00","World","H4","HS","true","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true","0","false","152206242.08",,"152206242.08","4","false","true",
"C","A","20150101","2015","52","2015","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H4","HS","true","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","6581551365.86","6239365017.31","6581551365.86","0","false","true",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H4","HS","true","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"21748482422","21748482422","0","true","false",
"C","A","20150101","2015","52","2015","40","AUT","Austria","M","Import","0","W00","World","0","W00","World","H4","HS","true","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true","0","false","11685815308.997",,"11685815308.997","4","false","true",
"C","A","20150101","2015","52","2015","44","BHS","Bahamas","M","Import","0","W00","World","0","W00","World","H4","HS","true","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","537756257",,"537756257","0","true","false",
"C","A","20150101","2015","52","2015","48","BHR","Bahrain","M","Import","0","W00","World","0","W00","World","H4","HS","true","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","4194376905.297",,"4194376905.297","0","false","true",
